STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sizeclas,Size classes in number of employees,indic_sbs,Economic indicator for structural business statistics,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",B,Mining and quarrying,LT,Lithuania,2022,,81.82,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",B,Mining and quarrying,LT,Lithuania,2023,,88.89,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",LT,Lithuania,2022,,70.31,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",B-S_X_O_S94,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",LT,Lithuania,2023,,68.95,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C,Manufacturing,LT,Lithuania,2022,,72.45,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C,Manufacturing,LT,Lithuania,2023,,70.94,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C10-C12,Manufacture of food products; beverages and tobacco products,LT,Lithuania,2022,,75.32,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C10-C12,Manufacture of food products; beverages and tobacco products,LT,Lithuania,2023,,74.59,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C13_C14,Manufacture of textiles and wearing apparel,LT,Lithuania,2022,,71.43,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C13_C14,Manufacture of textiles and wearing apparel,LT,Lithuania,2023,,68.54,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C15,Manufacture of leather and related products,LT,Lithuania,2022,,70.00,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C15,Manufacture of leather and related products,LT,Lithuania,2023,,60.53,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",LT,Lithuania,2022,,64.43,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",LT,Lithuania,2023,,63.32,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C17_C18,Manufacture of paper and paper products; printing and reproduction of recorded media,LT,Lithuania,2022,,81.55,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C17_C18,Manufacture of paper and paper products; printing and reproduction of recorded media,LT,Lithuania,2023,,74.53,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C19,Manufacture of coke and refined petroleum products,LT,Lithuania,2023,,50.00,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C20,Manufacture of chemicals and chemical products,LT,Lithuania,2022,,59.38,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C20,Manufacture of chemicals and chemical products,LT,Lithuania,2023,,81.25,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,LT,Lithuania,2022,,100.00,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,LT,Lithuania,2023,,100.00,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C22,Manufacture of rubber and plastic products,LT,Lithuania,2022,,85.37,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C22,Manufacture of rubber and plastic products,LT,Lithuania,2023,,86.84,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C23,Manufacture of other non-metallic mineral products,LT,Lithuania,2022,,69.96,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C23,Manufacture of other non-metallic mineral products,LT,Lithuania,2023,,71.73,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",LT,Lithuania,2022,,72.24,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",LT,Lithuania,2023,,70.33,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C26,"Manufacture of computer, electronic and optical products",LT,Lithuania,2022,,88.89,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C26,"Manufacture of computer, electronic and optical products",LT,Lithuania,2023,,100.00,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C27,Manufacture of electrical equipment,LT,Lithuania,2022,,93.33,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C27,Manufacture of electrical equipment,LT,Lithuania,2023,,100.00,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C28,Manufacture of machinery and equipment n.e.c.,LT,Lithuania,2022,,100.00,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C28,Manufacture of machinery and equipment n.e.c.,LT,Lithuania,2023,,83.33,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C29_C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",LT,Lithuania,2022,,95.24,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C29_C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",LT,Lithuania,2023,,77.78,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C31_C32,Manufacture of furniture; other manufacturing,LT,Lithuania,2022,,73.89,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C31_C32,Manufacture of furniture; other manufacturing,LT,Lithuania,2023,,72.45,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C33,Repair and installation of machinery and equipment,LT,Lithuania,2022,,74.40,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C33,Repair and installation of machinery and equipment,LT,Lithuania,2023,,73.24,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C_ICT,ICT manufacturing,LT,Lithuania,2022,,71.43,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",C_ICT,ICT manufacturing,LT,Lithuania,2023,,100.00,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",D,"Electricity, gas, steam and air conditioning supply",LT,Lithuania,2022,,81.54,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",D,"Electricity, gas, steam and air conditioning supply",LT,Lithuania,2023,,72.16,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",E,"Water supply; sewerage, waste management and remediation activities",LT,Lithuania,2022,,85.71,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",E,"Water supply; sewerage, waste management and remediation activities",LT,Lithuania,2023,,63.64,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",F,Construction,LT,Lithuania,2022,,62.81,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",F,Construction,LT,Lithuania,2023,,61.65,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,LT,Lithuania,2022,,73.74,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,LT,Lithuania,2023,,73.54,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G-S_X_O_S94,"Services (except public administration, defence, compulsory social security, activities of membership organisations, households as employers and extra-territorial organisations and bodies)",LT,Lithuania,2022,,71.47,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G-S_X_O_S94,"Services (except public administration, defence, compulsory social security, activities of membership organisations, households as employers and extra-territorial organisations and bodies)",LT,Lithuania,2023,,70.22,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G-U_ICT,ICT services,LT,Lithuania,2022,,75.35,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G-U_ICT,ICT services,LT,Lithuania,2023,,78.45,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,LT,Lithuania,2022,,79.60,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,LT,Lithuania,2023,,80.86,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G46,"Wholesale trade, except of motor vehicles and motorcycles",LT,Lithuania,2022,,81.76,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G46,"Wholesale trade, except of motor vehicles and motorcycles",LT,Lithuania,2023,,86.61,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G47,"Retail trade, except of motor vehicles and motorcycles",LT,Lithuania,2022,,70.22,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G47,"Retail trade, except of motor vehicles and motorcycles",LT,Lithuania,2023,,68.20,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G471,Retail sale in non-specialised stores,LT,Lithuania,2022,,77.08,,,,,
dataflow,ESTAT:BD_SIZE(1.0),Business demography by size class and NACE Rev. 2 activity,A,Annual,Y1,1 year,TOTAL,Total,ENT_SRVLR_BRTH_PC,"Survival rate - enterprise survivals of respective age, divided by enterprise births in respective birth year - percentage",G471,Retail sale in non-specialised stores,LT,Lithuania,2023,,81.86,,,,,
